datum, ping, download, , server
25-03 23:23,47.12 ms ,13.44 Mbps, ,speedtest.internetx.de
25-03 23:30,44.59 ms ,12.21 Mbps, ,speedtest.internetx.de
26-03 00:30,63.88 ms ,6.58 Mbps, ,speedtest.glasfaser-ostbayern.de
26-03 01:30,33.66 ms ,12.40 Mbps, ,speedtest.glasfaser-ostbayern.de
26-03 02:30,57.32 ms ,12.14 Mbps, ,speedtest.internetx.de
26-03 03:30,40.52 ms ,13.99 Mbps, ,speedtest.glasfaser-ostbayern.de
26-03 04:30,36.26 ms ,12.99 Mbps, ,speedtest.glasfaser-ostbayern.de
26-03 05:30,42.36 ms ,8.61 Mbps, ,speedtest.internetx.de
26-03 06:30,46.9 ms ,11.98 Mbps, ,speedtest.internetx.de
26-03 07:30,42.41 ms ,12.77 Mbps, ,speedtest.internetx.de
26-03 08:30,50.79 ms ,12.26 Mbps, ,speedtest.glasfaser-ostbayern.de
26-03 09:30,45.91 ms ,9.19 Mbps, ,speedtest.glasfaser-ostbayern.de
26-03 10:30,50.28 ms ,10.26 Mbps, ,speedtest.glasfaser-ostbayern.de
26-03 11:30,45.43 ms ,11.47 Mbps, ,speedtest.glasfaser-ostbayern.de
26-03 12:30,59.73 ms ,11.08 Mbps, ,speedtest.internetx.de
